"trade_no","master_cmt_no","cmt_type","cursor_dealer","secur_type","secur_desc","prog_term","end_term","prog_type","investor","trade_date","trade_exp","del_date","cursor_pool_month","tolerance","trade_amt","coupon","price","serv_fee","cmt_no","open_amt","tot_profit","filled","pairoff_date1","FeeAmount1","Profit1","pairoff_date2","FeeAmount2","Profit2","pairoff_date3","FeeAmount3","Profit3","pairoff_amt3","Notes","Fee Notes"
"G1000127","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","08/25/2015","","11/12/2015","0","","1000000.00","4.000","105.968750","","","0.00","-4843.800000","Filled","09/29/2015","1064531.30","-4843.800000","","","0.000000","","","0.000000","","< William Morrow : 11/06/2015 10:21 AM >Questioning if this is really DTrac 3848I believe this trade is really 3848< William Morrow : 8/25/2015 2:32 PM >3684 as of 08/25"," < William Morrow : 9/29/2015 12:37 PM >loss -4,843.80"
"G1000128","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","08/25/2015","","11/19/2015","0","","2000000.00","3.500","103.921880","","","0.00","-6562.400000","Filled","09/28/2015","2085000.00","-6562.400000","","","0.000000","","","0.000000","","< William Morrow : 8/25/2015 2:46 PM >3849 as of 08/25"," < William Morrow : 9/28/2015 10:23 AM >Loss of -6,562.40"
"G1000129","","","BANK OF OKLAHOMA N.A."," FNMA","","360","360","Fixed","","08/25/2015","","11/12/2015","0","","1500000.00","3.500","103.500000","","","0.00","-8203.200000","Filled","09/29/2015","1560703.20","-8203.200000","","","0.000000","","","0.000000","","< William Morrow : 8/25/2015 2:51 PM >3850 as of 08/25"," < William Morrow : 9/29/2015 12:35 PM >loss -8,203.20"
"G1000130","","","SOUTHWEST SECURITIES"," GNMA II","","360","360","Fixed","","08/26/2015","","11/19/2015","0","","1000000.00","4.000","105.750000","","","0.00","-7812.500000","Filled","10/20/2015","1065312.50","-7812.500000","","","0.000000","","","0.000000","","< Pam Neff : 8/26/2015 3:36 PM >Data Trac trade number is 3851"," < William Morrow : 10/20/2015 1:38 PM >loss -7,812.50"
"G1000131","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","08/26/2015","","11/19/2015","0","","1000000.00","4.000","105.718750","","","0.00","-9062.500000","Filled","10/19/2015","1066250.00","-9062.500000","","","0.000000","","","0.000000","","< Pam Neff : 8/26/2015 3:39 PM >Data Trac trade # 3852"," < William Morrow : 10/19/2015 12:40 PM >loss -9,062.50"
"G1000134","","","FNMA TRADE DESK"," FNMA","","180","180","Fixed","","08/28/2015","","11/17/2015","0","","500000.00","3.000","103.390630","","","0.00","-3359.350000","Filled","10/09/2015","520312.50","-3359.350000","","","0.000000","","","0.000000","","< William Morrow : 8/28/2015 5:10 PM >3853 as of 08/28"," < William Morrow : 10/09/2015 12:47 PM >loss -3,359.35"
"G1000135","","","BANK OF OKLAHOMA N.A."," FNMA","","360","360","Fixed","","08/31/2015","","11/12/2015","0","","4000000.00","3.500","103.093750","","","0.00","-50664.200000","Filled","10/01/2015","1042109.40","-11171.900000","10/02/2015","3132304.80","-39492.300000","","","0.000000","","< William Morrow : 8/31/2015 2:57 PM >3854 as of 08/31"," < William Morrow : 10/01/2015 4:34 PM >1st partial at a loss of -11,171.90; < William Morrow : 10/02/2015 2:33 PM > final at a loss of -39,492.30 &amp; net loss of -50,664.20"
"G1000143","","","DAIWA CAPITAL MARKETS AM"," GNMA II","","360","360","Fixed","","09/01/2015","","11/19/2015","0","","1000000.00","3.500","103.843750","","","0.00","-13125.000000","Filled","10/22/2015","1051562.50","-13125.000000","","","0.000000","","","0.000000","","< William Morrow : 9/01/2015 3:50 PM >3855 as of 09/01"," < William Morrow : 10/22/2015 1:37 PM >loss -13,125"
"G1000144","","","SOUTHWEST SECURITIES"," FNMA","","360","360","Fixed","","09/02/2015","","11/12/2015","0","","1500000.00","3.500","103.218750","","","0.00","-13828.200000","Filled","10/09/2015","1562109.45","-13828.200000","","","0.000000","","","0.000000","","< William Morrow : 9/02/2015 12:54 PM >3856 as of 09/02"," < William Morrow : 10/09/2015 5:40 PM >loss -13,828.20"
"G1000145","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","09/02/2015","","11/19/2015","0","","2000000.00","3.500","103.671880","","","0.00","-23437.400000","Filled","11/02/2015","2096875.00","-23437.400000","","","0.000000","","","0.000000","","< William Morrow : 9/02/2015 12:56 PM >3857 as of 09/02",""
"G1000147","","","SOUTHWEST SECURITIES"," GNMA II","","360","360","Fixed","","09/02/2015","","11/19/2015","0","","3000000.00","3.500","103.703130","","","0.00","-44179.500000","Filled","10/22/2015","3155273.40","-44179.500000","","","0.000000","","","0.000000","","< William Morrow : 10/09/2015 11:27 AM >3869 09/02"," < William Morrow : 10/22/2015 1:45 PM >loss -44,179.50"
"G1000148","","","SOUTHWEST SECURITIES"," GNMA II","","360","360","Fixed","","09/02/2015","","11/19/2015","0","","1500000.00","4.000","105.812500","","","0.00","-8906.250000","Filled","10/13/2015","1596093.75","-8906.250000","","","0.000000","","","0.000000","","< William Morrow : 10/09/2015 11:28 AM >3861 09/02"," < William Morrow : 10/13/2015 10:59 AM >loss -8,906.25"
"G1000149","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/02/2015","","11/12/2015","0","","1000000.00","3.500","103.203130","","","0.00","-9218.700000","Filled","09/30/2015","1041250.00","-9218.700000","","","0.000000","","","0.000000","","< William Morrow : 9/30/2015 11:21 AM >3862 as of 09/02"," < William Morrow : 9/30/2015 11:21 AM >loss -9,218.70"
"G1000150","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/02/2015","","11/12/2015","0","","1000000.00","4.000","105.843750","","","0.00","-10156.300000","Filled","10/22/2015","1068593.80","-10156.300000","","","0.000000","","","0.000000","",""," < William Morrow : 10/22/2015 2:01 PM >loss -10,156.30"
"G1000151","","","FNMA TRADE DESK"," FNMA","","180","180","Fixed","","09/02/2015","","11/17/2015","0","","500000.00","2.500","101.156250","","","0.00","-5312.500000","Filled","10/23/2015","511093.75","-5312.500000","","","0.000000","","","0.000000","","< William Morrow : 10/09/2015 11:28 AM >3860 09/02"," < William Morrow : 10/23/2015 1:00 PM >loss -5,312.50"
"G1000152","","","WUNDERLICH/BOMC"," GNMA II","","360","360","Fixed","","09/03/2015","","11/19/2015","0","","1000000.00","3.500","103.921880","","","0.00","-10625.000000","Filled","10/20/2015","1049843.80","-10625.000000","","","0.000000","","","0.000000","","< William Morrow : 10/09/2015 11:29 AM >3863 09/02"," < William Morrow : 10/20/2015 1:36 PM >loss -10,625"
"G1000155","","","COASTAL SECURITIES"," FNMA","","360","360","Fixed","","09/04/2015","","11/12/2015","0","","1500000.00","3.500","103.570310","","","0.00","-5625.000000","Filled","09/24/2015","1559179.65","-5625.000000","","","0.000000","","","0.000000","","< William Morrow : 9/04/2015 8:02 AM >3864 as of 09/04/2015"," < William Morrow : 9/24/2015 10:48 AM >loss -5,625"
"G1000156","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/04/2015","","11/12/2015","0","","1000000.00","3.500","103.468750","","","0.00","-3750.000000","Filled","09/22/2015","1038437.50","-3750.000000","","","0.000000","","","0.000000","","< William Morrow : 9/04/2015 4:07 PM >3865 as of 09/04"," < Marshelle Fernandez : 9/22/2015 2:27 PM >Pairoff Complete 1mm loss of $3750.00"
"G1000157","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/04/2015","","11/12/2015","0","","1000000.00","4.000","106.015630","","","0.00","-3750.000000","Filled","09/22/2015","1063906.30","-3750.000000","","","0.000000","","","0.000000","","< William Morrow : 9/04/2015 4:07 PM >3866 as of 09/04"," < Marshelle Fernandez : 9/22/2015 11:08 AM >final pairoff loss of $3750.00"
"G1000158","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/08/2015","","11/12/2015","0","","3000000.00","3.500","103.375000","","","0.00","-20156.400000","Filled","09/29/2015","3121406.40","-20156.400000","","","0.000000","","","0.000000","","< William Morrow : 9/08/2015 6:07 PM >3867 as of 09/08"," < William Morrow : 9/30/2015 10:15 AM >loss -20,156.40"
"G1000159","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/08/2015","","11/12/2015","0","","4000000.00","4.000","105.968750","","","0.00","-15390.700000","Filled","09/28/2015","3188203.20","-9140.700000","10/01/2015","1065937.50","-6250.000000","","","0.000000","","< William Morrow : 9/08/2015 6:13 PM >3868 as of 09/09"," < Marshelle Fernandez : 9/28/2015 5:31 PM >Partial Pairoff 3mm loss of $9140.70; < William Morrow : 10/01/2015 10:59 AM >loss -6,250, and net loss -15,390.70"
"G1000160","","","SOUTHWEST SECURITIES"," GNMA II","","360","360","Fixed","","09/08/2015","","11/19/2015","0","","4000000.00","3.500","103.875000","","","0.00","-33828.100000","Filled","09/29/2015","1567031.25","-8906.250000","10/01/2015","1046328.10","-7578.100000","10/15/2015","1575468.75","-17343.750000","1500000.00","< William Morrow : 9/08/2015 6:17 PM >3869 as of 09/08"," < William Morrow : 9/29/2015 12:34 PM >partial at a loss of -8,806.25; < William Morrow : 10/01/2015 4:16 PM >2nd po: loss -7,578.10; sub -16,484.35; < William Morrow : 10/15/2015 1:33 PM >loss -17,343.75, and net loss -33,828.10"
"G1000161","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","09/09/2015","","11/19/2015","0","","1000000.00","4.000","105.906250","","","0.00","-4375.000000","Filled","10/09/2015","1063437.50","-4375.000000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/10/2015 2:38 PM >Datatrac trade number 3870"," < William Morrow : 10/09/2015 12:43 PM >loss -4,375"
"G1000162","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/09/2015","","11/12/2015","0","","1000000.00","4.000","105.921880","","","0.00","-7968.700000","Filled","10/14/2015","1067187.50","-7968.700000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/10/2015 2:45 PM >Datatrac trade number 3871"," < William Morrow : 10/14/2015 12:54 PM >loss -7,968.70"
"G1000163","","","CANTOR FITZGERALD"," GNMA II","","360","360","Fixed","","09/09/2015","","11/19/2015","0","","1500000.00","4.000","105.875000","","","0.00","-11953.200000","Filled","10/22/2015","1600078.20","-11953.200000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/10/2015 2:51 PM >Datatrac # 3874"," < William Morrow : 10/22/2015 1:56 PM >loss -11,953.20"
"G1000164","","","SOUTHWEST SECURITIES"," FNMA","","360","360","Fixed","","09/09/2015","","11/12/2015","0","","1500000.00","3.500","103.531250","","","0.00","-6093.750000","Filled","09/24/2015","1559062.50","-6093.750000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/10/2015 2:57 PM >Datatrac# 3875"," < William Morrow : 9/24/2015 10:41 AM >loss --6,093.75"
"G1000165","","","DAIWA CAPITAL MARKETS AM"," FNMA","","360","360","Fixed","","09/09/2015","","11/12/2015","0","","1500000.00","3.500","103.414060","","","0.00","-9726.600000","Filled","09/29/2015","1560937.50","-9726.600000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/10/2015 3:01 PM >Datatrac#3876"," < William Morrow : 9/29/2015 12:28 PM >loss -9,726.60"
"G1000166","","","CANTOR FITZGERALD"," GNMA II","","360","360","Fixed","","09/09/2015","","11/19/2015","0","","1000000.00","3.000","100.875000","","","0.00","-12343.800000","Filled","10/13/2015","1021093.80","-12343.800000","","","0.000000","","","0.000000","","< Pam Neff : 9/10/2015 4:18 PM >Data Trac Trade # 3873"," < William Morrow : 10/13/2015 11:02 AM >loss -12,343.80"
"G1000167","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","09/09/2015","","11/19/2015","0","","2500000.00","4.000","105.875000","","","0.00","-14062.500000","Filled","10/01/2015","2660937.50","-14062.500000","","","0.000000","","","0.000000","","< Pam Neff : 9/10/2015 4:24 PM >Data Trac Trade # 3872"," < William Morrow : 10/01/2015 3:46 PM >loss -14,062.50"
"G1000168","","","MORGAN STANLEY & CO"," FNMA","","180","180","Fixed","","09/10/2015","","11/17/2015","0","","500000.00","3.000","103.453130","","","0.00","-5234.350000","Filled","10/22/2015","522500.00","-5234.350000","","","0.000000","","","0.000000","","< Pam Neff : 9/10/2015 4:38 PM >data trac trade # 3877"," < William Morrow : 10/22/2015 2:17 PM >loss -5,234.35"
"G1000169","","","CANTOR FITZGERALD"," FNMA","","360","360","","","09/10/2015","","11/12/2015","0","","1500000.00","3.500","103.250000","","","0.00","-15703.200000","Filled","10/01/2015","1564453.20","-15703.200000","","","0.000000","","","0.000000","","< Pam Neff : 9/10/2015 4:41 PM >DATA TRAC TRADE # 3878"," < William Morrow : 10/01/2015 11:04 AM >loss -15,703.20"
"G1000170","","","CANTOR FITZGERALD"," FNMA","","360","360","Fixed","","09/10/2015","","11/12/2015","0","","1000000.00","4.000","105.906250","","","0.00","-6250.000000","Filled","10/08/2015","1065312.50","-6250.000000","","","0.000000","","","0.000000","","< Pam Neff : 9/10/2015 4:45 PM >DATA TRAC TRADE # 3879"," < William Morrow : 10/08/2015 12:39 PM >loss -6,250"
"G1000172","","","BANK OF OKLAHOMA N.A."," FNMA","","360","360","Fixed","","09/11/2015","","11/12/2015","0","","1000000.00","4.000","105.984380","","","0.00","-5156.200000","Filled","09/30/2015","1065000.00","-5156.200000","","","0.000000","","","0.000000","","< William Morrow : 9/11/2015 10:45 AM >3880 as of 09/11"," < William Morrow : 9/30/2015 11:55 AM >loss -5,156.20"
"G1000174","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","09/14/2015","","11/19/2015","0","","1000000.00","3.500","103.968750","","","0.00","-8750.000000","Filled","10/13/2015","1048437.50","-8750.000000","","","0.000000","","","0.000000","","< William Morrow : 10/09/2015 10:04 AM >3882 09/14"," < William Morrow : 10/13/2015 3:56 PM >loss -8,750"
"G1000175","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/14/2015","","11/12/2015","0","","1000000.00","3.500","103.468750","","","0.00","-6562.500000","Filled","09/30/2015","1041250.00","-6562.500000","","","0.000000","","","0.000000","","< William Morrow : 9/30/2015 11:54 AM >3883 as of 09/14"," < William Morrow : 9/30/2015 11:53 AM >loss -6,563"
"G1000176","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","09/15/2015","","11/19/2015","0","","1000000.00","3.000","100.593750","","","0.00","-10312.500000","Filled","11/06/2015","1016250.00","-10312.500000","","","0.000000","","","0.000000","","< William Morrow : 9/15/2015 2:41 PM >3884 as of 09/15"," < Renee Alvarez : 11/06/2015 12:22 PM >-10,312.50"
"G1000178","","","BANK OF OKLAHOMA N.A."," FNMA","","360","360","Fixed","","09/15/2015","","11/12/2015","0","","1000000.00","3.500","103.031250","","","0.00","-14843.800000","Filled","10/14/2015","1045156.30","-14843.800000","","","0.000000","","","0.000000","","< William Morrow : 9/15/2015 2:43 PM >3886 as of 09/15"," < William Morrow : 10/14/2015 12:59 PM >loss -14,843.80"
"G1000179","","","BANK OF OKLAHOMA N.A."," FNMA","","360","360","Fixed","","09/15/2015","","11/12/2015","0","","1000000.00","4.000","105.765630","","","0.00","-11406.200000","Filled","10/22/2015","1069062.50","-11406.200000","","","0.000000","","","0.000000","","< William Morrow : 9/15/2015 2:44 PM >3887 as of 09/15"," < William Morrow : 10/22/2015 2:09 PM >loss -11,406.20"
"G1000180","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","09/15/2015","","11/12/2015","0","","2000000.00","3.500","102.937500","","","0.00","-23750.000000","Filled","10/30/2015","2082500.00","-23750.000000","","","0.000000","","","0.000000","","< William Morrow : 9/15/2015 2:56 PM >3888 as of 09/15"," < William Morrow : 10/30/2015 11:08 AM >loss -23,750"
"G1000181","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","09/15/2015","","11/19/2015","0","","2000000.00","3.500","103.390630","","","0.00","-23125.000000","Filled","11/04/2015","2090937.60","-23125.000000","","","0.000000","","","0.000000","","< William Morrow : 9/15/2015 2:56 PM >3889 as of 09/15",""
"G1000182","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","09/16/2015","","11/19/2015","0","","1500000.00","4.000","105.703130","","","0.00","-7265.550000","Filled","11/04/2015","1592812.50","-7265.550000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/16/2015 8:20 AM >Datatrac#3890",""
"G1000184","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","09/18/2015","","12/17/2015","0","","2000000.00","4.000","106.125000","","","0.00","1250.000000","Filled","12/03/2015","2121250.00","1250.000000","","","0.000000","","","0.000000","","< Renee Alvarez : 9/18/2015 5:44 PM >3893 - 9-18",""
"G1000186","","","SOUTHWEST SECURITIES"," GNMA II","","360","360","Fixed","","09/21/2015","","11/19/2015","0","","4000000.00","3.500","104.187500","","","0.00","-10390.700000","Filled","09/22/2015","1043125.00","-1250.000000","09/24/2015","2088437.60","-4687.600000","10/01/2015","1046328.10","-4453.100000","1000000.00","< Marshelle Fernandez : 9/21/2015 9:30 AM >Datatrac#3894"," < Marshelle Fernandez : 9/22/2015 2:32 PM >Partial PO 1mm $1250.00 loss; < William Morrow : 9/24/2015 10:39 AM >loss -4,687.60, sub-net loss -5,937.60; < William Morrow : 10/01/2015 4:08 PM >3894: loss 4,453.10; net -10,390.70"
"G1000191","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","09/21/2015","","11/19/2015","0","","1500000.00","3.500","104.046880","","","0.00","-14765.550000","Filled","10/15/2015","1575468.75","-14765.550000","","","0.000000","","","0.000000","","< Marshelle Fernandez : 9/21/2015 4:45 PM >Datatrac 3898"," < William Morrow : 10/15/2015 1:36 PM >loss -14,765.55"
"G1000194","","","SOUTHWEST SECURITIES"," GNMA II","","360","360","","","09/24/2015","","12/17/2015","0","","2000000.00","3.500","103.937500","","","0.00","-1250.000000","Filled","12/03/2015","2080000.00","-1250.000000","","","0.000000","","","0.000000","","",""
"G1000223","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","10/05/2015","","11/12/2015","0","","1500000.00","4.000","106.531250","","","0.00","-2031.300000","Filled","10/06/2015","1066406.30","-1093.800000","10/14/2015","533593.75","-937.500000","","","0.000000","","< Pam Neff : 10/05/2015 2:50 PM >data trac 3926< William Morrow : 11/06/2015 1:32 PM >Trade reissued by FNMA for some reason with a new Asset ID number."," < William Morrow : 10/06/2015 4:42 PM >loss -1,093.80; < William Morrow : 10/14/2015 12:49 PM >loss -937.50; net loss -2,031.30"
