"trade_no","master_cmt_no","cmt_type","cursor_dealer","secur_type","secur_desc","prog_term","end_term","prog_type","investor","trade_date","trade_exp","del_date","cursor_pool_month","tolerance","trade_amt","coupon","price","serv_fee","cmt_no","open_amt","tot_profit","filled","pairoff_date1","FeeAmount1","Profit1","pairoff_date2","FeeAmount2","Profit2","pairoff_date3","FeeAmount3","Profit3","pairoff_amt3","Notes","Fee Notes"
"G1000096","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","08/12/2015","","11/12/2015","0","","1000000.00","3.500","103.218750","","","0.00","-8906.300000","Filled","10/09/2015","1041093.80","-8906.300000","","","0.000000","","","0.000000","","< William Morrow : 10/09/2015 5:25 PM >3825 08/12"," < William Morrow : 10/09/2015 12:45 PM >loss -8,906.30"
"G1000098","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","08/13/2015","","11/12/2015","0","","1000000.00","4.000","105.625000","","","0.00","-5781.300000","Filled","11/04/2015","1062031.30","-5781.300000","","","0.000000","","","0.000000","","< William Morrow : 8/13/2015 4:49 PM >3827 as of 08/13",""
"G1000099","","","BANK OF OKLAHOMA N.A."," FNMA","","360","360","Fixed","","08/14/2015","","11/12/2015","0","","1000000.00","3.500","102.859380","","","0.00","-12187.500000","Filled","11/02/2015","1040781.30","-12187.500000","","","0.000000","","","0.000000","","< William Morrow : 8/14/2015 3:15 PM >3828 as of 08/14",""
"G1000108","","","SOUTHWEST SECURITIES"," FNMA","","360","360","Fixed","","08/18/2015","","11/12/2015","0","","1000000.00","3.500","102.906250","","","0.00","-11718.800000","Filled","11/02/2015","1040781.30","-11718.800000","","","0.000000","","","0.000000","","< Pam Neff : 8/18/2015 12:38 PM >DataTrac trade number is 3832 ",""
"G1000114","","","BANK OF OKLAHOMA N.A."," GNMA II","","360","360","Fixed","","08/19/2015","","11/19/2015","0","","2000000.00","3.500","103.781250","","","0.00","-21250.000000","Filled","11/02/2015","2096875.00","-21250.000000","","","0.000000","","","0.000000","","< William Morrow : 8/19/2015 4:30 PM >3835 as of 08/19",""
"G1000115","","","FNMA TRADE DESK"," GNMA II","","360","360","Fixed","","08/19/2015","","11/19/2015","0","","2000000.00","4.000","105.812500","","","0.00","-12500.000000","Filled","10/01/2015","2128750.00","-12500.000000","","","0.000000","","","0.000000","","< William Morrow : 8/19/2015 4:29 PM >3836 as of 08/19"," < William Morrow : 10/01/2015 3:36 PM >loss -12,500"
"G1000116","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","08/20/2015","","11/12/2015","0","","1000000.00","3.500","103.500000","","","0.00","-2968.800000","Filled","09/28/2015","1037968.80","-2968.800000","","","0.000000","","","0.000000","","< William Morrow : 8/20/2015 5:14 PM >3837 as of 08/20"," < Marshelle Fernandez : 9/28/2015 5:27 PM >Filled Pairoff 1mm loss of $2968.80"
"G1000117","","","CANTOR FITZGERALD"," GNMA II","","360","360","Fixed","","08/20/2015","","11/19/2015","0","","1500000.00","3.500","103.875000","","","0.00","-16875.000000","Filled","10/15/2015","1575000.00","-16875.000000","","","0.000000","","","0.000000","","< William Morrow : 8/20/2015 5:14 PM >3838 as of 08/20"," < William Morrow : 10/15/2015 1:56 PM >loss -16,875"
"G1000118","","","CANTOR FITZGERALD"," GNMA II","","360","360","Fixed","","08/20/2015","","11/19/2015","0","","1000000.00","4.000","105.890630","","","0.00","-7343.700000","Filled","10/14/2015","1066250.00","-7343.700000","","","0.000000","","","0.000000","","< William Morrow : 8/20/2015 5:17 PM >3839 as of 08/20"," < William Morrow : 10/14/2015 4:24 PM >loss -7,343.70"
"G1000121","","","CANTOR FITZGERALD"," FNMA","","360","360","Fixed","","08/24/2015","","11/12/2015","0","","1000000.00","3.500","103.640630","","","0.00","-2343.700000","Filled","09/22/2015","1038750.00","-2343.700000","","","0.000000","","","0.000000","","< Pam Neff : 8/24/2015 11:21 AM >Data Trac trade # 3842"," < Marshelle Fernandez : 9/22/2015 11:12 AM >final pairoff of 1mm loss of $2343.70"
"G1000122","","","FNMA TRADE DESK"," FNMA","","360","360","Fixed","","08/24/2015","","11/12/2015","0","","3500000.00","3.500","103.687500","","","0.00","-859.500000","Filled","09/17/2015","1037031.30","-156.300000","09/18/2015","1038750.00","-1875.000000","09/21/2015","1554140.70","1171.800000","1500000.00","< William Morrow : 8/24/2015 4:15 PM >3843 as of 08/24/2015"," < William Morrow : 9/17/2015 4:43 PM >loss -156.30; < Renee Alvarez : 9/18/2015 5:49 PM >loss 1,875.00, total loss 2,031.30; < Marshelle Fernandez : 9/21/2015 12:58 PM >Final pair off loss of 1171.80 for total loss of $859.50"
"G1000125","","","BANK OF OKLAHOMA N.A."," FNMA","","360","360","Fixed","","08/25/2015","","11/12/2015","0","","2000000.00","3.500","103.250000","","","0.00","-19218.800000","Filled","10/01/2015","2084218.80","-19218.800000","","","0.000000","","","0.000000","","< William Morrow : 8/25/2015 12:47 PM >3846 as of 08/25"," < William Morrow : 10/01/2015 4:28 PM >loss -19,218.80"
"G1000126","","","COASTAL SECURITIES"," GNMA II","","360","360","Fixed","","08/25/2015","","11/19/2015","0","","1000000.00","3.500","103.648437","","","0.00","-10546.930000","Filled","11/03/2015","1047031.30","-10546.930000","","","0.000000","","","0.000000","","< William Morrow : 10/09/2015 11:53 AM >3847 08/25",""
