"Loan Number","Blank 1","Blank 2","Blank 3","Blank 4","Blank 5","Blank 6","Blank 7","Purchased","Investor Code","Investor Loan No"
"1451100123","","","","","","","","02/08/2012","US BANK","6850371938"
"1481100271","","","","","","","","02/03/2012","CHFA-2ND","CH136933"
"1481100279","","","","","","","","02/10/2012","CHFA-2ND","CH136992"
"1481100301","","","","","","","","02/17/2012","JP MORGAN","1157624984"
"1481100306","","","","","","","","02/14/2012","GMAC BANK","603298429"
"1481100319","","","","","","","","02/15/2012","US BANK","6850374153"
"1481100323","","","","","","","","02/15/2012","FLAGSTAR","503428686"
"1481200005","","","","","","","","02/13/2012","FLAGSTAR","503404989"
"1591100178","","","","","","","","02/07/2012","GMAC BANK","603302796"
"1591100221","","","","","","","","02/09/2012","US BANK","6850364039"
"1591100233","","","","","","","","02/10/2012","PENNYMAC","8000010318"
"1591100241","","","","","","","","02/13/2012","FIRST MTG CORP","400571"
"1591100242","","","","","","","","02/17/2012","FIRST MTG CORP","400069"
"1591100243","","","","","","","","02/13/2012","FIRST MTG CORP","400571"
"1591100244","","","","","","","","02/17/2012","FIRST MTG CORP","400070"
"1601100080","","","","","","","","02/17/2012","CHFA-2ND","CH-1370084"
"1601100312","","","","","","","","02/15/2012","JP MORGAN","1157586386"
"1601100341","","","","","","","","02/24/2012","PENNYMAC","8000012147"
"1601100354","","","","","","","","02/06/2012","GMAC BANK","603298390"
"1601100357","","","","","","","","02/15/2012","GMAC BANK","603308134"
"1601100361","","","","","","","","02/15/2012","US BANK","6850362599"
"1601100365","","","","","","","","02/27/2012","US BANK","6850373967"
"1601100366","","","","","","","","02/17/2012","CHFA-2ND","CH-137220"
"1601100376","","","","","","","","02/10/2012","PENNYMAC","8000010602"
"1601100378","","","","","","","","02/13/2012","JP MORGAN","1157497628"
"1601100381","","","","","","","","02/09/2012","GMAC BANK","603299653"
"1601100406","","","","","","","","02/21/2012","FLAGSTAR","503438724"
"1601100409","","","","","","","","02/23/2012","GMAC BANK","603308165"
