"Fixed","Blank1","Blank2","Blank3","Date Deposited","Blank4","Blank5","Loan Number","Principal Pmt","Interest Pmt","Impounds Pmt","Curtailment Payable","Buydown Amt","Late Pay Amt"
"0","","","","11/01/2013","","","1061300480","251.30","680.16","570.23","0.00","0.00",""
"0","","","","11/01/2013","","","1061300494","317.76","860.05","386.25","0.00","0.00",""
"0","","","","11/01/2013","","","1441300109","193.62","738.50","281.30","6.58","0.00",""
"0","","","","11/01/2013","","","1481300425","225.63","745.47","0.00","0.00","0.00",""
"0","","","","11/01/2013","","","1681300096","447.57","1478.75","425.80","0.00","0.00",""
"0","","","","11/01/2013","","","1681300107","506.50","1370.90","869.12","53.48","0.00",""
"0","","","","11/01/2013","","","3261300072","1164.25","4440.62","1949.26","0.00","0.00",""
"0","","","","11/01/2013","","","3921300225","0.00","","","309.50","",""
"0","","","","11/01/2013","","","6521300092","208.31","563.81","379.19","0.00","0.00",""
